lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
12.0,4.0,3.0,2268.0,400.0,5.67,5.0,2.0,2.5,1,1,1.0,1.0
3.0,15.0,0.2,300.0,2112.0,0.14,1.0,7.0,0.14,1,1,1.0,0.0
13.0,5.0,2.6,1920.0,480.0,4.0,6.0,1.0,6.0,1,1,1.0,1.0
16.0,16.0,1.0,3780.0,2800.0,1.35,7.0,7.0,1.0,1,1,1.0,1.0
14.0,2.0,7.0,2352.0,240.0,9.8,6.0,1.0,6.0,1,1,1.0,1.0
10.0,20.0,0.5,1152.0,4928.0,0.23,4.0,9.0,0.44,1,1,1.0,0.0
6.0,10.0,0.6,560.0,1176.0,0.48,1.0,4.0,0.25,1,1,1.0,0.0
14.0,8.0,1.75,2352.0,1001.67,2.35,6.0,1.0,6.0,1,3,0.33,0.0
14.0,8.71,1.61,2352.0,1097.14,2.14,6.0,1.0,6.0,1,7,0.14,0.0
6.0,10.0,0.6,600.0,1800.0,0.33,3.0,4.0,0.75,1,1,1.0,0.0
8.0,9.0,0.89,768.0,864.0,0.89,1.0,4.0,0.25,1,1,1.0,0.0
19.0,8.88,2.14,4410.0,1296.5,3.4,1.0,4.38,0.23,1,8,0.12,0.0
11.0,18.0,0.61,1470.0,2640.0,0.56,1.0,1.0,1.0,1,1,1.0,0.0
18.0,10.0,1.8,4032.0,1024.0,3.94,1.0,4.0,0.25,1,1,1.0,1.0
2.0,4.0,0.5,256.0,450.0,0.57,1.0,2.0,0.5,1,1,1.0,0.0
2.0,17.67,0.11,225.0,4418.67,0.05,1.0,8.0,0.12,1,3,0.33,0.0
17.0,5.67,3.0,5040.0,623.33,8.09,8.0,3.33,2.4,1,3,0.33,1.0
2.0,13.14,0.15,256.0,2347.43,0.11,1.0,1.0,1.0,1,7,0.14,0.0
4.0,20.0,0.2,360.0,4500.0,0.08,2.0,9.0,0.22,1,1,1.0,0.0
9.0,20.0,0.45,1080.0,6400.0,0.17,4.0,9.0,0.44,1,1,1.0,0.0
3.0,15.0,0.2,300.0,2304.0,0.13,1.0,1.0,1.0,1,1,1.0,0.0
16.0,6.67,2.4,3136.0,1062.33,2.95,7.0,3.33,2.1,1,3,0.33,0.0
12.67,11.0,1.15,2460.0,1982.0,1.24,5.83,1.0,5.83,6,3,2.0,1.0
14.0,18.0,0.78,2205.0,3520.0,0.63,1.0,8.0,0.12,1,1,1.0,0.0
6.0,11.0,0.55,720.0,1200.0,0.6,3.0,5.0,0.6,1,1,1.0,0.0
2.0,2.0,1.0,240.0,240.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0
20.0,10.0,2.0,5280.0,2625.0,2.01,9.0,4.75,1.89,1,4,0.25,0.0
11.0,14.6,0.75,1728.0,2529.4,0.68,5.0,6.8,0.74,1,5,0.2,0.0
16.0,13.83,1.16,3080.0,3248.0,0.95,7.0,6.5,1.08,1,6,0.17,0.0
8.0,9.12,0.88,800.0,1706.5,0.47,4.0,4.12,0.97,1,8,0.12,0.0
20.0,20.0,1.0,4860.0,5760.0,0.84,1.0,9.0,0.11,1,1,1.0,0.0
11.0,15.2,0.72,1269.0,2632.8,0.48,1.0,1.0,1.0,2,5,0.4,0.0
