     	n=2   	n=3   	n=4   	n=5  
lv.1 	0.0%  	0.0%  	0.0%  	0.0% 
lv.2 	5.0%  	0.0%  	0.0%  	0.0% 
lv.3 	9.0%  	0.0%  	0.0%  	0.0% 
lv.4 	26.0% 	0.0%  	0.0%  	0.0% 
lv.5 	49.0% 	4.0%  	0.0%  	0.0% 
lv.6 	71.0% 	17.0% 	0.0%  	0.0% 
lv.7 	91.0% 	37.0% 	3.0%  	0.0% 
lv.8 	98.0% 	57.0% 	12.0% 	2.0% 
lv.9 	90.0% 	40.0% 	4.0%  	0.0% 
lv.10	99.0% 	67.0% 	11.0% 	0.0% 
lv.11	100.0%	74.0% 	28.0% 	4.0% 
lv.12	100.0%	91.0% 	58.0% 	15.0%
lv.13	100.0%	99.0% 	70.0% 	38.0%
lv.14	100.0%	100.0%	86.0% 	42.0%
lv.15	100.0%	100.0%	92.0% 	72.0%
lv.16	100.0%	99.0% 	98.0% 	80.0%
lv.17	100.0%	100.0%	100.0%	89.0%
lv.18	100.0%	100.0%	100.0%	94.0%
lv.19	100.0%	100.0%	100.0%	97.0%
lv.20	100.0%	100.0%	100.0%	98.0%
