     	n=2   	n=3   	n=4  	n=5  
lv.1 	0.1%  	0.0%  	0.0% 	0.0% 
lv.2 	3.6%  	0.0%  	0.0% 	0.0% 
lv.3 	12.1% 	0.1%  	0.0% 	0.0% 
lv.4 	23.9% 	0.3%  	0.0% 	0.0% 
lv.5 	53.2% 	6.7%  	0.2% 	0.0% 
lv.6 	72.0% 	13.8% 	0.7% 	0.1% 
lv.7 	90.7% 	37.1% 	4.5% 	0.3% 
lv.8 	96.4% 	51.3% 	12.2%	1.5% 
lv.9 	95.1% 	44.2% 	5.8% 	0.3% 
lv.10	97.8% 	60.8% 	14.7%	1.5% 
lv.11	99.3% 	77.6% 	26.9%	4.4% 
lv.12	99.7% 	92.1% 	55.5%	19.5%
lv.13	99.9% 	96.0% 	71.1%	33.1%
lv.14	99.8% 	98.9% 	81.5%	48.7%
lv.15	100.0%	99.5% 	93.3%	71.0%
lv.16	100.0%	99.7% 	96.7%	83.3%
lv.17	100.0%	99.9% 	98.5%	89.2%
lv.18	100.0%	100.0%	99.5%	95.2%
lv.19	100.0%	100.0%	99.8%	98.3%
lv.20	100.0%	100.0%	99.9%	99.1%
