# name                         |distance |dist_change |power |accuracy |complexity |stam_cost |time_cost |qi_cost |features                            |functions                                                               |tier |freq 
'Acrobatic Charging Kick'      |3        |-1          |30    |30       |4          |41        |84        |25      |{'charging', 'kick', 'acrobatic'}   |['do_agility_based_dam', 'do_strength_based_dam']                       |3    |2    
'Acrobatic Charging Palm'      |2        |-1          |23    |26       |3          |28        |60        |25      |{'charging', 'acrobatic', 'palm'}   |['do_agility_based_dam', 'do_strength_based_dam']                       |3    |1    
'Acrobatic Charging Punch'     |2        |-1          |26    |23       |3          |28        |60        |25      |{'charging', 'punch', 'acrobatic'}  |['do_agility_based_dam', 'do_strength_based_dam']                       |3    |2    
'Acrobatic Claw'               |1        |0           |20    |30       |3          |25        |50        |20      |{'acrobatic', 'claw'}               |['do_agility_based_dam', 'do_strength_based_dam']                       |2    |1    
'Acrobatic Elbow'              |1        |0           |30    |25       |3          |38        |60        |20      |{'elbow', 'acrobatic'}              |['do_agility_based_dam', 'do_strength_based_dam']                       |2    |1    
'Acrobatic Energy Claw'        |1        |0           |20    |30       |3          |25        |50        |40      |{'energy', 'acrobatic', 'claw'}     |['do_qi_based_dam', 'do_agility_based_dam', 'do_strength_based_dam']    |4    |1    
'Acrobatic Energy Elbow'       |1        |0           |30    |25       |3          |38        |60        |40      |{'energy', 'elbow', 'acrobatic'}    |['do_qi_based_dam', 'do_agility_based_dam', 'do_strength_based_dam']    |4    |1    
'Acrobatic Energy Headbutt'    |1        |0           |40    |15       |3          |25        |60        |40      |{'energy', 'acrobatic', 'head'}     |['do_qi_based_dam', 'do_agility_based_dam', 'do_strength_based_dam']    |4    |1    
'Acrobatic Energy Kick'        |3        |0           |30    |30       |4          |38        |70        |40      |{'energy', 'kick', 'acrobatic'}     |['do_qi_based_dam', 'do_agility_based_dam', 'do_strength_based_dam']    |4    |3    
'Acrobatic Energy Knee'        |1        |0           |30    |30       |4          |38        |70        |40      |{'energy', 'acrobatic', 'knee'}     |['do_qi_based_dam', 'do_agility_based_dam', 'do_strength_based_dam']    |4    |1    
