;name;distance;dist_change;power;accuracy;complexity;stam_cost;time_cost;qi_cost;features;functions;tier;freq
0;Claw;1;0;23;23;1;19;50;0;{'claw'};['cause_bleeding'];0;3
1;Elbow;1;0;30;25;1;27;60;0;{'elbow'};[];0;3
2;Headbutt;1;0;33;24;1;20;60;0;{'head'};[];0;1
3;Kick;3;0;27;23;2;30;70;0;{'kick'};[];0;5
4;Knee;1;0;32;25;2;25;70;0;{'knee'};[];0;2
5;Palm;2;0;24;26;1;19;48;0;{'palm'};[];0;4
6;Punch;2;0;26;24;1;20;50;0;{'punch'};[];0;5
7;Sweep;2;0;20;20;2;30;80;0;{'kick', 'takedown'};['do_takedown'];0;1
8;Throw;1;0;10;30;3;30;90;0;{'grappling', 'takedown'};['do_takedown'];0;1
9;Trip;1;0;10;20;1;20;70;0;{'grappling', 'takedown'};['do_takedown'];0;1
10;Light Claw;1;0;18;25;1;14;50;5;{'light', 'claw'};['cause_bleeding'];1;3
11;Skillful Light Claw;1;0;19;26;1;17;48;10;{'light', 'skillful', 'claw'};['cause_bleeding'];2;3
12;Superior Light Claw;1;0;20;28;1;18;45;15;{'light', 'superior', 'claw'};['cause_bleeding'];3;3
13;Advanced Light Claw;1;0;21;29;1;20;42;20;{'light', 'advanced', 'claw'};['cause_bleeding'];4;3
14;Expert Light Claw;1;0;22;30;1;21;40;25;{'light', 'expert', 'claw'};['cause_bleeding'];5;3
15;Ultimate Light Claw;1;0;22;31;1;22;38;30;{'ultimate', 'light', 'claw'};['cause_bleeding'];6;3
16;Shocking Claw;1;0;23;23;1;19;50;10;{'shocking', 'claw'};['cause_bleeding', 'do_shock_move'];2;3
17;Skillful Shocking Claw;1;0;24;24;1;23;48;15;{'shocking', 'skillful', 'claw'};['cause_bleeding', 'do_shock_move'];3;3
18;Superior Shocking Claw;1;0;25;25;1;25;45;20;{'shocking', 'superior', 'claw'};['cause_bleeding', 'do_shock_move'];4;3
19;Advanced Shocking Claw;1;0;26;26;1;27;42;25;{'shocking', 'advanced', 'claw'};['cause_bleeding', 'do_shock_move'];5;3
20;Expert Shocking Claw;1;0;28;28;1;28;40;30;{'shocking', 'expert', 'claw'};['cause_bleeding', 'do_shock_move'];6;3
21;Ultimate Shocking Claw;1;0;29;29;1;30;38;35;{'shocking', 'ultimate', 'claw'};['cause_bleeding', 'do_shock_move'];7;3
22;Light Shocking Claw;1;0;18;25;1;14;50;15;{'shocking', 'light', 'claw'};['cause_bleeding', 'do_shock_move'];3;3
23;Skillful Light Shocking Claw;1;0;19;26;1;17;48;20;{'shocking', 'light', 'skillful', 'claw'};['cause_bleeding', 'do_shock_move'];4;3
24;Superior Light Shocking Claw;1;0;20;28;1;18;45;25;{'shocking', 'light', 'superior', 'claw'};['cause_bleeding', 'do_shock_move'];5;3
25;Advanced Light Shocking Claw;1;0;21;29;1;20;42;30;{'shocking', 'light', 'advanced', 'claw'};['cause_bleeding', 'do_shock_move'];6;3
26;Expert Light Shocking Claw;1;0;22;30;1;21;40;35;{'shocking', 'light', 'expert', 'claw'};['cause_bleeding', 'do_shock_move'];7;3
27;Ultimate Light Shocking Claw;1;0;22;31;1;22;38;40;{'shocking', 'light', 'ultimate', 'claw'};['cause_bleeding', 'do_shock_move'];8;3
28;Solar Claw;1;0;23;23;1;19;50;10;{'solar', 'claw'};['cause_bleeding', 'do_stam_dam'];2;3
29;Skillful Solar Claw;1;0;24;24;1;23;48;15;{'solar', 'skillful', 'claw'};['cause_bleeding', 'do_stam_dam'];3;3
30;Superior Solar Claw;1;0;25;25;1;25;45;20;{'solar', 'superior', 'claw'};['cause_bleeding', 'do_stam_dam'];4;3
31;Advanced Solar Claw;1;0;26;26;1;27;42;25;{'solar', 'advanced', 'claw'};['cause_bleeding', 'do_stam_dam'];5;3
32;Expert Solar Claw;1;0;28;28;1;28;40;30;{'solar', 'expert', 'claw'};['cause_bleeding', 'do_stam_dam'];6;3
33;Ultimate Solar Claw;1;0;29;29;1;30;38;35;{'solar', 'ultimate', 'claw'};['cause_bleeding', 'do_stam_dam'];7;3
34;Light Solar Claw;1;0;18;25;1;14;50;15;{'solar', 'light', 'claw'};['cause_bleeding', 'do_stam_dam'];3;3
35;Skillful Light Solar Claw;1;0;19;26;1;17;48;20;{'solar', 'light', 'skillful', 'claw'};['cause_bleeding', 'do_stam_dam'];4;3
36;Superior Light Solar Claw;1;0;20;28;1;18;45;25;{'solar', 'light', 'superior', 'claw'};['cause_bleeding', 'do_stam_dam'];5;3
37;Advanced Light Solar Claw;1;0;21;29;1;20;42;30;{'solar', 'light', 'advanced', 'claw'};['cause_bleeding', 'do_stam_dam'];6;3
38;Expert Light Solar Claw;1;0;22;30;1;21;40;35;{'solar', 'light', 'expert', 'claw'};['cause_bleeding', 'do_stam_dam'];7;3
39;Ultimate Light Solar Claw;1;0;22;31;1;22;38;40;{'solar', 'ultimate', 'light', 'claw'};['cause_bleeding', 'do_stam_dam'];8;3
40;Nerve Claw;1;0;23;23;1;19;50;10;{'nerve', 'claw'};['cause_bleeding', 'do_mob_dam'];2;3
41;Skillful Nerve Claw;1;0;24;24;1;23;48;15;{'skillful', 'nerve', 'claw'};['cause_bleeding', 'do_mob_dam'];3;3
42;Superior Nerve Claw;1;0;25;25;1;25;45;20;{'nerve', 'superior', 'claw'};['cause_bleeding', 'do_mob_dam'];4;3
43;Advanced Nerve Claw;1;0;26;26;1;27;42;25;{'nerve', 'advanced', 'claw'};['cause_bleeding', 'do_mob_dam'];5;3
44;Expert Nerve Claw;1;0;28;28;1;28;40;30;{'expert', 'nerve', 'claw'};['cause_bleeding', 'do_mob_dam'];6;3
45;Ultimate Nerve Claw;1;0;29;29;1;30;38;35;{'ultimate', 'nerve', 'claw'};['cause_bleeding', 'do_mob_dam'];7;3
46;Light Nerve Claw;1;0;18;25;1;14;50;15;{'light', 'nerve', 'claw'};['cause_bleeding', 'do_mob_dam'];3;3
47;Skillful Light Nerve Claw;1;0;19;26;1;17;48;20;{'skillful', 'light', 'nerve', 'claw'};['cause_bleeding', 'do_mob_dam'];4;3
48;Superior Light Nerve Claw;1;0;20;28;1;18;45;25;{'light', 'nerve', 'superior', 'claw'};['cause_bleeding', 'do_mob_dam'];5;3
49;Advanced Light Nerve Claw;1;0;21;29;1;20;42;30;{'light', 'nerve', 'advanced', 'claw'};['cause_bleeding', 'do_mob_dam'];6;3
50;Expert Light Nerve Claw;1;0;22;30;1;21;40;35;{'light', 'nerve', 'expert', 'claw'};['cause_bleeding', 'do_mob_dam'];7;3
51;Ultimate Light Nerve Claw;1;0;22;31;1;22;38;40;{'ultimate', 'light', 'nerve', 'claw'};['cause_bleeding', 'do_mob_dam'];8;3
52;Drunken Claw;1;0;23;23;2;19;50;5;{'drunken', 'claw'};['cause_bleeding', 'cause_off_balance'];1;3
53;Skillful Drunken Claw;1;0;24;24;2;23;48;10;{'skillful', 'drunken', 'claw'};['cause_bleeding', 'cause_off_balance'];2;3
54;Superior Drunken Claw;1;0;25;25;2;25;45;15;{'drunken', 'superior', 'claw'};['cause_bleeding', 'cause_off_balance'];3;3
55;Advanced Drunken Claw;1;0;26;26;2;27;42;20;{'advanced', 'drunken', 'claw'};['cause_bleeding', 'cause_off_balance'];4;3
56;Expert Drunken Claw;1;0;28;28;2;28;40;25;{'expert', 'drunken', 'claw'};['cause_bleeding', 'cause_off_balance'];5;3
57;Ultimate Drunken Claw;1;0;29;29;2;30;38;30;{'ultimate', 'drunken', 'claw'};['cause_bleeding', 'cause_off_balance'];6;3
58;Light Drunken Claw;1;0;18;25;2;14;50;10;{'light', 'drunken', 'claw'};['cause_bleeding', 'cause_off_balance'];2;3
59;Skillful Light Drunken Claw;1;0;19;26;2;17;48;15;{'light', 'skillful', 'drunken', 'claw'};['cause_bleeding', 'cause_off_balance'];3;3
60;Superior Light Drunken Claw;1;0;20;28;2;18;45;20;{'light', 'drunken', 'superior', 'claw'};['cause_bleeding', 'cause_off_balance'];4;3
61;Advanced Light Drunken Claw;1;0;21;29;2;20;42;25;{'advanced', 'light', 'drunken', 'claw'};['cause_bleeding', 'cause_off_balance'];5;3
62;Expert Light Drunken Claw;1;0;22;30;2;21;40;30;{'light', 'drunken', 'expert', 'claw'};['cause_bleeding', 'cause_off_balance'];6;3
63;Ultimate Light Drunken Claw;1;0;22;31;2;22;38;35;{'ultimate', 'light', 'drunken', 'claw'};['cause_bleeding', 'cause_off_balance'];7;3
64;Heavy Claw;1;0;28;21;1;24;50;5;{'heavy', 'claw'};['cause_bleeding'];1;3
65;Skillful Heavy Claw;1;0;29;22;1;29;48;10;{'skillful', 'heavy', 'claw'};['cause_bleeding'];2;3
66;Superior Heavy Claw;1;0;31;23;1;31;45;15;{'superior', 'heavy', 'claw'};['cause_bleeding'];3;3
67;Advanced Heavy Claw;1;0;32;24;1;34;42;20;{'advanced', 'heavy', 'claw'};['cause_bleeding'];4;3
68;Expert Heavy Claw;1;0;34;25;1;36;40;25;{'expert', 'heavy', 'claw'};['cause_bleeding'];5;3
69;Ultimate Heavy Claw;1;0;35;26;1;38;38;30;{'ultimate', 'heavy', 'claw'};['cause_bleeding'];6;3
70;Heavy Shocking Claw;1;0;28;21;1;24;50;15;{'shocking', 'heavy', 'claw'};['cause_bleeding', 'do_shock_move'];3;3
71;Skillful Heavy Shocking Claw;1;0;29;22;1;29;48;20;{'shocking', 'skillful', 'heavy', 'claw'};['cause_bleeding', 'do_shock_move'];4;3
72;Superior Heavy Shocking Claw;1;0;31;23;1;31;45;25;{'shocking', 'superior', 'heavy', 'claw'};['cause_bleeding', 'do_shock_move'];5;3
73;Advanced Heavy Shocking Claw;1;0;32;24;1;34;42;30;{'shocking', 'advanced', 'heavy', 'claw'};['cause_bleeding', 'do_shock_move'];6;3
74;Expert Heavy Shocking Claw;1;0;34;25;1;36;40;35;{'shocking', 'expert', 'heavy', 'claw'};['cause_bleeding', 'do_shock_move'];7;3
75;Ultimate Heavy Shocking Claw;1;0;35;26;1;38;38;40;{'shocking', 'ultimate', 'heavy', 'claw'};['cause_bleeding', 'do_shock_move'];8;3
76;Heavy Solar Claw;1;0;28;21;1;24;50;15;{'solar', 'heavy', 'claw'};['cause_bleeding', 'do_stam_dam'];3;3
77;Skillful Heavy Solar Claw;1;0;29;22;1;29;48;20;{'solar', 'skillful', 'heavy', 'claw'};['cause_bleeding', 'do_stam_dam'];4;3
78;Superior Heavy Solar Claw;1;0;31;23;1;31;45;25;{'solar', 'superior', 'heavy', 'claw'};['cause_bleeding', 'do_stam_dam'];5;3
79;Advanced Heavy Solar Claw;1;0;32;24;1;34;42;30;{'solar', 'advanced', 'heavy', 'claw'};['cause_bleeding', 'do_stam_dam'];6;3
80;Expert Heavy Solar Claw;1;0;34;25;1;36;40;35;{'solar', 'expert', 'heavy', 'claw'};['cause_bleeding', 'do_stam_dam'];7;3
81;Ultimate Heavy Solar Claw;1;0;35;26;1;38;38;40;{'solar', 'ultimate', 'heavy', 'claw'};['cause_bleeding', 'do_stam_dam'];8;3
82;Heavy Nerve Claw;1;0;28;21;1;24;50;15;{'nerve', 'heavy', 'claw'};['cause_bleeding', 'do_mob_dam'];3;3
83;Skillful Heavy Nerve Claw;1;0;29;22;1;29;48;20;{'skillful', 'nerve', 'heavy', 'claw'};['cause_bleeding', 'do_mob_dam'];4;3
84;Superior Heavy Nerve Claw;1;0;31;23;1;31;45;25;{'nerve', 'superior', 'heavy', 'claw'};['cause_bleeding', 'do_mob_dam'];5;3
85;Advanced Heavy Nerve Claw;1;0;32;24;1;34;42;30;{'nerve', 'advanced', 'heavy', 'claw'};['cause_bleeding', 'do_mob_dam'];6;3
86;Expert Heavy Nerve Claw;1;0;34;25;1;36;40;35;{'expert', 'nerve', 'heavy', 'claw'};['cause_bleeding', 'do_mob_dam'];7;3
87;Ultimate Heavy Nerve Claw;1;0;35;26;1;38;38;40;{'ultimate', 'nerve', 'heavy', 'claw'};['cause_bleeding', 'do_mob_dam'];8;3
