quote	hero_pre	hero_win	chal_pre	chal_win	thug_pre	thug_win
...	1	1	1	1	1	1
1, 2, 3... kick!	1					
A big mouth on a wet ass.					1	1
A real hero would show himself, or do you prefer humiliation?					1	
A real man never goes back on his word.	1	1	1	1		
A strong man sheds blood before he sheds tears.	1	1				
A tiger doesn't pounce on supine prey.		1				
Admit defeat?		1		1		
After I'm through with you, you'll really be dumb!					1	
Again...	1				1	
Again?	1				1	
Ain't never looked for trouble, but always made my stand.		1				
All right.	1		1		1	
All that kung-fu. Looks like dancing.					1	1
All too easy.		1		1		1
All you have to do is to use your hands.		1				
Amazing!		1		1		
And I go chop, chop, chop!	1	1				
And I'm going to see that you don't do whatever it is that you are doing!	1					
And I've never met a single man yet that I could call my friend.		1				
And now legs in the air just like a dead chicken!		1		1		1
And you said you'd put me down in three.		1		1		1
Another new stance? What is it?			1		1	
Are you a damn masochist...					1	1
Are you angry?	1	1				
Are you ready to meet your death yet?					1	
Are you scared?					1	
Are you still itching?		1				
Are you sure?	1		1		1	
Are you that good?			1		1	
Aren't you ashamed of your evil deeds?	1	1				
At least I don't show off my butt.		1		1		
Attack!	1		1		1	
Bastard!					1	1
Be careful.	1		1		1	
Beat you!		1		1		1
Bet you'd never guess that that's how you'd end up...		1				1
But killing me, you won't find that so easy.	1					
Bwa-ha-ha-ha-ha!					1	1
Can I go now?		1		1		
Come at me, if you have the nerve!	1		1		1	
Come back! We're not done yet!					1	
Come here!					1	
Come on, boy. This is serious.			1		1	
Come on, then!	1		1			
Come out and settle this once and for all!	1		1			
Coming here, looking for punishment?					1	1
Conquer the unyielding with the yielding!	1	1				
Crawl between my legs! Crawl!						1
Crawl!						1
Damn it all! I'll give you hell!					1	
Damn it!					1	
Damn you!					1	1
Darned idiot.						1
Death doesn't scare me.	1		1		1	
Did you really quit so easily?		1		1		1
Did you think you could fool me?		1		1		1
Did you think you're God's gift to kung-fu?				1		1
Dirty unflogged scoundrel! I'll teach you to know me!			1		1	
Do you admit defeat?		1		1		
Does it hurt? I'll KILL you next time!						1
Don't act so innocent.	1				1	
Don't be scared!	1		1			
Don't be so sure of yourself.	1		1		1	
Don't ever follow me again in the future!		1				1
Don't give me any more problems.		1				1
Don't hang around here if you want to live.					1	
Don't kid me now!	1		1		1	
Don't push me too far. You'll force me to retaliate!	1		1			
Don't take things too seriously, and you will always be at ease.		1		1		
Don't think you can play me.					1	1
Don't think. Feel.	1	1				
Down on your knees!					1	1
Dumb ass!					1	1
Easy!	1	1	1	1		
Enough of idle chatter!	1		1		1	
Enough!	1	1	1	1	1	1
Enough.	1	1	1	1	1	1
Even if surrounded by an army of thousands, I could hack my way out. What do you amount to!					1	
Even if the Heavens spare your life, I won't.					1	
Even if you were to study for 20 years, you wouldn't beat me.	1	1	1	1		
Everything Clan?		1				
Everything is connected.		1				
Everything's fair in love and war!	1	1	1	1		
Extraordinary.		1		1		
Fate has brought us together in this barren land.	1		1			
For the Iron Way!	1	1	1	1		
For the martial arts spirit!	1	1	1	1		
For training, I'm willing to endure anything.	1	1				
Fortunately, I came in the nick of time!	1	1				
Get lost! You're in my way.			1	1	1	1
Get out of here.			1	1	1	1
Get up!						1
Go ahead!	1		1		1	
Go away. This is not your business.					1	
Go back where you came from, quickly, if you want to save yourself a beating.	1					
Go home, rascal!					1	
Go to hell!	1		1		1	
Good moves...		1		1		
Good! Don't move.					1	
Good! Fight!	1		1			
Good. Very good.		1		1		
Gotta keep myself strong and fat.	1	1	1	1		
Ha!		1		1		1
Had enough?		1		1		1
Have a few strokes!	1		1			
Haven't you heard of me? Where do you get the gall to come and tweak the tiger's whiskers?	1		1		1	
Having trouble standing?		1		1		1
He who can only strike what he sees is a second-rate martial artist. Do not underestimate me.	1		1			
Hell is empty and all devils are here.	1	1				
Here comes an earthquake!	1		1			
Here I come!	1		1			
Here I come! Winds sweep the plum flowers!	1		1			
Here, bite this.	1		1			
Here, eat this.	1		1			
Here, just taste that.	1		1			
He's good. Could he be the Iron Monkey?					1	
He's huge and fierce...	1					
He's not even a worm. He's too small to fight.					1	
He's quite big...	1					
He's small! Should be easy!	1					
"He's the ""Great Bear"" but he's anything but great!"		1				
Hey there. Get going now.			1			
Hey, friend. Not bad style.	1		1			
Hey, hold it.	1		1		1	
Hit all you want!	1					
Hit until he gets the cramps!					1	
Hit you like a dog!						1
Hit you till you go dizzy!					1	
Hmm!	1	1	1	1		
Hmm! It's nothing special.		1		1		
